,category,false,depth,illumination,normal,reflectance,sum
0,att,FN,317544,58259,239053,199436,814292
1,att,FP,26120,9544,48442,16610,100716
2,cce,FN,321484,58816,239667,199791,819758
3,cce,FP,24306,9910,46417,17016,97649
4,dice,FN,311350,55311,236990,194177,797828
5,dice,FP,27027,8369,46606,17572,99574
6,inv_dice,FN,311764,54481,237445,188052,791742
7,inv_dice,FP,24998,8397,43242,18069,94706
