,category,false,depth,illumination,normal,reflectance,sum
0,att,FN,814,217,3039,5702,9772
1,att,FP,612114,998352,778447,820643,3209556
2,cce,FN,814,217,3039,5702,9772
3,cce,FP,612114,998352,778447,820643,3209556
4,dice,FN,814,217,3039,5702,9772
5,dice,FP,612114,998352,778447,820643,3209556
6,inv_dice,FN,814,217,3039,5702,9772
7,inv_dice,FP,612114,998352,778447,820643,3209556
