,category,false,depth,illumination,normal,reflectance,sum
0,att,FN,187063,45068,169292,134296,535719
1,att,FP,45773,20116,87518,30433,183840
2,cce,FN,199791,43958,170155,133409,547313
3,cce,FP,40133,22318,87810,32784,183045
4,dice,FN,180752,46238,157247,126488,510725
5,dice,FP,46962,14468,96182,32924,190536
6,inv_dice,FN,178262,45829,156116,124163,504370
7,inv_dice,FP,47255,15967,91251,33838,188311
