,category,false,depth,illumination,normal,reflectance,sum
0,att,FN,187158,44965,169173,134288,535584
1,att,FP,47194,20789,88601,30797,187381
2,cce,FN,200353,44670,168975,133343,547341
3,cce,FP,40127,21871,87193,31944,181135
4,dice,FN,180952,46334,156895,127250,511431
5,dice,FP,47249,14420,95063,33974,190706
6,inv_dice,FN,176534,45635,156900,123693,502762
7,inv_dice,FP,47109,15086,91163,34991,188349
