,category,false,depth,illumination,normal,reflectance,sum
0,att,FN,281433,55073,219111,183926,739543
1,att,FP,32547,11811,62305,20488,127151
2,cce,FN,258204,54752,213553,179220,705729
3,cce,FP,33518,12689,62819,21693,130719
4,dice,FN,295547,53597,229719,186665,765528
5,dice,FP,30367,9414,52136,19958,111875
6,inv_dice,FN,294690,52967,230391,181006,759054
7,inv_dice,FP,28414,9359,48302,20204,106279
