,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,74802,32987,83184,74118,265091
1,case8_att,FP,139635,54078,230714,89666,514093
2,case8_cce,FN,59092,30692,75722,68174,233680
3,case8_cce,FP,158190,62647,239785,97719,558341
4,dice,FN,323477,57196,252884,206817,840374
5,dice,FP,11030,3928,18720,6811,40489
6,inv_dice,FN,435776,68505,294444,242474,1041199
7,inv_dice,FP,809,251,0,1075,2135
