,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,31334,17333,34460,29438,112565
1,case8_att,FP,251323,177785,417345,262520,1108973
2,case8_cce,FN,34802,20702,41942,37602,135048
3,case8_cce,FP,225658,134048,359332,199527,918565
4,dice,FN,178922,44633,171396,131604,526555
5,dice,FP,48282,17375,80081,31850,177588
6,inv_dice,FN,259982,56431,239417,185418,741248
7,inv_dice,FP,21337,4045,25874,11053,62309
