,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,148503,47673,173633,145388,515197
1,case8_att,FP,69681,16029,86017,27404,199131
2,case8_cce,FN,83312,38018,113677,98815,333822
3,case8_cce,FP,120162,36000,159858,56180,372200
4,dice,FN,380161,61796,277028,230876,949861
5,dice,FP,4282,1841,6528,2506,15157
6,inv_dice,FN,458401,71714,294444,253684,1078243
7,inv_dice,FP,2,0,0,52,54
