,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,142488,41643,139038,110012,433181
1,case8_att,FP,73245,27104,126781,47531,274661
2,case8_cce,FN,137411,40513,138201,107856,423981
3,case8_cce,FP,72071,29460,122198,47773,271502
4,dice,FN,145841,43770,138916,112562,441089
5,dice,FP,64967,18697,116334,43083,243081
6,inv_dice,FN,146169,43778,140678,114243,444868
7,inv_dice,FP,62802,18473,110109,41367,232751
