,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,59553,28379,65559,57745,211236
1,case8_att,FP,165908,76177,280355,124793,647233
2,case8_cce,FN,51987,28126,65529,58844,204486
3,case8_cce,FP,173508,76128,268627,118429,636692
4,dice,FN,293517,54747,238066,192392,778722
5,dice,FP,16020,5483,27476,10114,59093
6,inv_dice,FN,410580,65466,294411,235035,1005492
7,inv_dice,FP,2201,681,4,1985,4871
