,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,48378,24490,53029,46044,171941
1,case8_att,FP,191542,102062,325496,163721,782821
2,case8_cce,FN,45771,25672,57118,51063,179624
3,case8_cce,FP,189366,91395,296829,140880,718470
4,dice,FN,260405,51971,220447,175385,708208
5,dice,FP,22880,7737,39339,14711,84667
6,inv_dice,FN,375186,62791,286620,225131,949728
7,inv_dice,FP,4845,1274,2787,3377,12283
