,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,39342,20886,43165,37085,140478
1,case8_att,FP,218909,134143,369932,208062,931046
2,case8_cce,FN,40288,23286,49474,44234,157282
3,case8_cce,FP,205885,109816,326153,166772,808626
4,dice,FN,222411,48778,198832,155244,625265
5,dice,FP,32629,11193,55790,21405,121017
6,inv_dice,FN,326112,59957,270156,210283,866508
7,inv_dice,FP,10105,2249,9732,5851,27937
