,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,277667,62690,272433,229714,842504
1,case8_att,FP,19357,2385,8997,2917,33656
2,case8_cce,FN,119661,45648,169989,139226,474524
3,case8_cce,FP,84737,19147,84697,29251,217832
4,dice,FN,412761,64644,287681,242107,1007193
5,dice,FP,1908,1005,2154,996,6063
6,inv_dice,FN,458552,71717,294444,254911,1079624
7,inv_dice,FP,0,0,0,0,0
