,category,false,depth,illumination,normal,reflectance,sum
0,att,FN,143485,41511,139184,110875,435055
1,att,FP,70128,27998,124835,45004,267965
2,cce,FN,137576,40786,138324,107725,424411
3,cce,FP,71254,30291,124297,48300,274142
4,dice,FN,145841,43770,138916,112562,441089
5,dice,FP,64967,18697,116334,43083,243081
6,inv_dice,FN,146169,43778,140678,114243,444868
7,inv_dice,FP,62802,18473,110109,41367,232751
