,depth,illumination,normal,reflectance
case8_cce_iter2_FN,131215.0,39225.0,137430.0,109815.0
case8_cce_iter2_FP,79570.0,33850.0,125665.0,48397.0
case8_att_iter2_FN,145622.0,43204.0,140492.0,109185.0
case8_att_iter2_FP,70397.0,24422.0,127007.0,50235.0
case8_dice_iter1_FN,142386.0,44895.0,136922.0,118254.0
case8_dice_iter1_FP,71146.0,22782.0,124593.0,46560.0
case8_cce_iter3_FN,137007.0,39342.0,131121.0,107017.0
case8_cce_iter3_FP,82906.0,29038.0,130637.0,53215.0
case8_att_iter3_FN,135568.0,40618.0,137545.0,111813.0
case8_att_iter3_FP,70318.0,29568.0,138794.0,44139.0
case8_inv_dice_iter2_FN,160328.0,41563.0,145020.0,116150.0
case8_inv_dice_iter2_FP,76995.0,329071.0,166012.0,48918.0
case8_att_iter1_FN,147190.0,44334.0,141038.0,111103.0
case8_att_iter1_FP,68228.0,29716.0,126503.0,53099.0
case8_cce_iter1_FN,136610.0,39327.0,135444.0,105495.0
case8_cce_iter1_FP,77902.0,28218.0,116120.0,40377.0
case8_inv_dice_iter1_FN,159373.0,41207.0,141016.0,117204.0
case8_inv_dice_iter1_FP,78973.0,348639.0,174117.0,48021.0
case8_dice_iter3_FN,183078.0,49448.0,149912.0,141249.0
case8_dice_iter3_FP,125416.0,43898.0,206125.0,98772.0
case8_inv_dice_iter3_FN,152759.0,41221.0,132900.0,113904.0
case8_inv_dice_iter3_FP,80513.0,479019.0,158043.0,49628.0
case8_dice_iter2_FN,147993.0,43863.0,138172.0,111202.0
case8_dice_iter2_FP,64688.0,24334.0,126115.0,42902.0
