,category,false,depth,illumination,normal,reflectance,sum
0,case8_att,FN,23110,13242,25639,21927,83918
1,case8_att,FP,298559,249990,477767,344842,1371158
2,case8_cce,FN,28377,17460,33286,30103,109226
3,case8_cce,FP,254385,174105,404646,250292,1083428
4,dice,FN,127747,38407,132689,102338,401181
5,dice,FP,77246,31783,124531,51174,284734
6,inv_dice,FN,180696,50489,185541,146031,562757
7,inv_dice,FP,45426,8871,64072,23456,141825
