,depth,illumination,normal,reflectance
dice_iter3_FN,133672.0,43834.0,133234.0,116957.0
dice_iter3_FP,71248.0,15232.0,128393.0,39131.0
inv_dice_iter3_FN,156325.0,47888.0,142939.0,115120.0
inv_dice_iter3_FP,61727.0,21197.0,116278.0,30716.0
inv_dice_iter1_FN,158437.0,53044.0,141765.0,109983.0
inv_dice_iter1_FP,63715.0,102465.0,141550.0,44370.0
inv_dice_iter2_FN,145075.0,44731.0,140824.0,112420.0
inv_dice_iter2_FP,67740.0,20755.0,121011.0,33537.0
dice_iter1_FN,167791.0,48829.0,143906.0,122345.0
dice_iter1_FP,80085.0,37688.0,164669.0,54550.0
dice_iter2_FN,186554.0,50076.0,148951.0,141749.0
dice_iter2_FP,122959.0,39659.0,193186.0,78350.0
