,depth,illumination,normal,reflectance
dice_iter3_FN,157470.0,44846.0,141742.0,118679.0
dice_iter3_FP,60734.0,15933.0,115339.0,40370.0
inv_dice_iter3_FN,146839.0,45438.0,140549.0,113048.0
inv_dice_iter3_FP,66359.0,14379.0,108915.0,37023.0
inv_dice_iter1_FN,139826.0,43148.0,141303.0,112903.0
inv_dice_iter1_FP,63216.0,18609.0,108780.0,41665.0
inv_dice_iter2_FN,152910.0,43863.0,144627.0,114781.0
inv_dice_iter2_FP,59273.0,16862.0,105373.0,44893.0
dice_iter1_FN,146079.0,49833.0,137653.0,130074.0
dice_iter1_FP,72110.0,27955.0,141411.0,39894.0
dice_iter2_FN,184650.0,52236.0,147701.0,143178.0
dice_iter2_FP,116003.0,33225.0,194453.0,88156.0
