,iter,false,depth,illumination,normal,reflectance
dice_iter5_FN,3000,FN,141633.0,43276.0,137711.0,111472.0
dice_iter5_FP,3000,FP,59322.0,17968.0,115665.0,47520.0
inv_dice_iter4_FN,6000,FN,146086.0,43066.0,142497.0,113896.0
inv_dice_iter4_FP,6000,FP,61868.0,17953.0,113070.0,37207.0
case8_cce_iter2_FN,3000,FN,139011.0,41055.0,136812.0,108738.0
case8_cce_iter2_FP,3000,FP,73178.0,27849.0,115486.0,39047.0
case8_cce_iter4_FN,3000,FN,139260.0,40957.0,142731.0,107432.0
case8_cce_iter4_FP,3000,FP,75429.0,37259.0,125588.0,50841.0
dice_iter3_FN,3000,FN,147472.0,44750.0,140168.0,114704.0
dice_iter3_FP,3000,FP,64223.0,19338.0,114912.0,46688.0
case8_att_iter2_FN,3000,FN,141457.0,40448.0,136657.0,107120.0
case8_att_iter2_FP,3000,FP,69177.0,29922.0,130279.0,47703.0
inv_dice_iter3_FN,6000,FN,146839.0,45438.0,140549.0,113048.0
inv_dice_iter3_FP,6000,FP,66359.0,14379.0,108915.0,37023.0
case8_cce_iter6_FN,3000,FN,134202.0,42985.0,137126.0,108255.0
case8_cce_iter6_FP,3000,FP,74903.0,34593.0,137020.0,51215.0
case8_att_iter4_FN,3000,FN,140887.0,41908.0,140817.0,112733.0
case8_att_iter4_FP,3000,FP,74637.0,27194.0,123331.0,48758.0
case8_cce_iter3_FN,3000,FN,136735.0,38384.0,138276.0,108578.0
case8_cce_iter3_FP,3000,FP,65963.0,30128.0,118427.0,49543.0
inv_dice_iter5_FN,6000,FN,150578.0,44246.0,140458.0,115173.0
inv_dice_iter5_FP,6000,FP,60783.0,20876.0,107773.0,42480.0
case8_cce_iter5_FN,3000,FN,135312.0,40239.0,134378.0,108382.0
case8_cce_iter5_FP,3000,FP,71324.0,23436.0,119026.0,42579.0
inv_dice_iter1_FN,6000,FN,139826.0,43148.0,141303.0,112903.0
inv_dice_iter1_FP,6000,FP,63216.0,18609.0,108780.0,41665.0
inv_dice_iter2_FN,6000,FN,152910.0,43863.0,144627.0,114781.0
inv_dice_iter2_FP,6000,FP,59273.0,16862.0,105373.0,44893.0
case8_att_iter6_FN,3000,FN,142423.0,41572.0,143177.0,106897.0
case8_att_iter6_FP,3000,FP,77636.0,25846.0,122530.0,48205.0
case8_att_iter3_FN,3000,FN,144026.0,41897.0,140918.0,110448.0
case8_att_iter3_FP,3000,FP,74072.0,25613.0,129155.0,52335.0
case8_att_iter1_FN,3000,FN,145041.0,40614.0,135798.0,110175.0
case8_att_iter1_FP,3000,FP,69648.0,27959.0,125292.0,43745.0
case8_att_iter5_FN,3000,FN,141094.0,43422.0,136861.0,112701.0
case8_att_iter5_FP,3000,FP,74302.0,26090.0,130104.0,44444.0
case8_cce_iter1_FN,3000,FN,139947.0,39460.0,139883.0,105756.0
case8_cce_iter1_FP,3000,FP,71631.0,23495.0,117642.0,53413.0
dice_iter1_FN,3000,FN,138729.0,43850.0,137049.0,113762.0
dice_iter1_FP,3000,FP,65474.0,16853.0,118267.0,38592.0
inv_dice_iter7_FN,6000,FN,150725.0,42945.0,136292.0,111987.0
inv_dice_iter7_FP,6000,FP,61396.0,20837.0,109780.0,48190.0
dice_iter6_FN,3000,FN,146743.0,43554.0,142124.0,110607.0
dice_iter6_FP,3000,FP,69200.0,18485.0,117341.0,44120.0
inv_dice_iter6_FN,6000,FN,136225.0,43743.0,139020.0,117919.0
inv_dice_iter6_FP,6000,FP,66723.0,19796.0,117076.0,38115.0
dice_iter2_FN,3000,FN,148154.0,43384.0,137470.0,105866.0
dice_iter2_FP,3000,FP,65947.0,20777.0,112409.0,41316.0
dice_iter4_FN,3000,FN,152318.0,43811.0,138974.0,118965.0
dice_iter4_FP,3000,FP,65637.0,18766.0,119411.0,40263.0
